Istituto;Capienza regolamentare;Detenuti presenti totali;Mese;Tasso di sovraffollamento;Suicidi
"ALBA ""G. MONTALTO""";138;42;01/01/25;30.43;0
"ALBA ""G. MONTALTO""";138;44;01/02/25;31.88;0
"ALBA ""G. MONTALTO""";138;49;01/03/25;35.51;0
"ALBA ""G. MONTALTO""";142;42;01/01/19;29.58;0
"ALBA ""G. MONTALTO""";142;43;01/02/19;30.28;0
"ALBA ""G. MONTALTO""";142;44;01/03/19;30.99;0
"ALBA ""G. MONTALTO""";142;46;01/04/19;32.39;0
"ALBA ""G. MONTALTO""";142;48;01/05/19;33.8;0
"ALBA ""G. MONTALTO""";142;50;01/06/19;35.21;0
"ALBA ""G. MONTALTO""";142;48;01/07/19;33.8;0
"ALBA ""G. MONTALTO""";142;47;01/08/19;33.1;0
"ALESSANDRIA ""G. CANTIELLO  S. GAETA""";218;166;01/06/22;76.15;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";237;275;01/03/19;116.03;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;183;01/01/21;83.94;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;182;01/06/21;83.49;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;192;01/09/21;88.07;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;196;01/12/21;89.91;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;199;01/01/22;91.28;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;196;01/04/22;89.91;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;179;01/05/22;82.11;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;180;01/09/22;82.57;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;181;01/10/22;83.03;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;185;01/11/22;79.4;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;179;01/01/23;76.82;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;181;01/03/23;77.68;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;181;01/05/23;77.68;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;186;01/06/23;79.83;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;171;01/07/23;73.39;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;172;01/08/23;73.82;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;182;01/09/23;78.11;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;175;01/10/23;75.11;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;187;01/11/23;80.26;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;200;01/12/23;85.84;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;200;01/01/24;85.84;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;216;01/02/24;92.7;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;195;01/04/24;83.69;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;198;01/05/24;84.98;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;214;01/06/24;91.85;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;212;01/07/24;90.99;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;213;01/08/24;91.42;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;216;01/10/24;92.7;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;201;01/01/25;86.27;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;224;01/02/25;96.14;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;241;01/03/25;103.43;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";237;260;01/01/19;109.7;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";237;278;01/02/19;117.3;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";237;283;01/04/19;119.41;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;282;01/05/19;121.03;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;273;01/06/19;117.17;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;261;01/07/19;112.02;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;259;01/08/19;111.16;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;259;01/09/19;111.16;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;259;01/10/19;111.16;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;260;01/11/19;111.59;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;258;01/12/19;110.73;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;258;01/01/20;110.73;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;238;01/02/20;102.15;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;227;01/03/20;104.13;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;199;01/04/20;91.28;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;192;01/05/20;88.07;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;180;01/06/20;82.57;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;185;01/07/20;84.86;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;186;01/08/20;85.32;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;194;01/09/20;88.99;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;199;01/10/20;91.28;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;198;01/11/20;90.83;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;184;01/12/20;84.4;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;181;01/02/21;83.03;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;195;01/03/21;89.45;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;197;01/04/21;90.37;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;186;01/05/21;85.32;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;189;01/07/21;86.7;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;188;01/08/21;86.24;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;191;01/10/21;87.61;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;198;01/11/21;90.83;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;185;01/02/22;84.86;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;190;01/03/22;87.16;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;163;01/07/22;74.77;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";218;173;01/08/22;79.36;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;191;01/12/22;81.97;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;193;01/02/23;82.83;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;186;01/04/23;79.83;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;196;01/03/24;84.12;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;210;01/09/24;90.13;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;205;01/11/24;87.98;0
"ALESSANDRIA ""G. CANTIELLO S. GAETA""";233;204;01/12/24;87.55;0
"ALESSANDRIA ""SAN MICHELE""";267;394;01/01/19;147.57;0
"ALESSANDRIA ""SAN MICHELE""";267;388;01/02/19;145.32;0
"ALESSANDRIA ""SAN MICHELE""";267;388;01/03/19;145.32;1
"ALESSANDRIA ""SAN MICHELE""";267;384;01/04/19;143.82;1
"ALESSANDRIA ""SAN MICHELE""";267;371;01/05/19;138.95;0
"ALESSANDRIA ""SAN MICHELE""";267;372;01/06/19;139.33;0
"ALESSANDRIA ""SAN MICHELE""";267;357;01/07/19;133.71;0
"ALESSANDRIA ""SAN MICHELE""";267;381;01/08/19;142.7;0
"ALESSANDRIA ""SAN MICHELE""";267;382;01/09/19;143.07;0
"ALESSANDRIA ""SAN MICHELE""";267;374;01/10/19;140.07;0
"ALESSANDRIA ""SAN MICHELE""";267;374;01/11/19;140.07;0
"ALESSANDRIA ""SAN MICHELE""";267;392;01/12/19;146.82;0
"ALESSANDRIA ""SAN MICHELE""";267;404;01/01/20;151.31;0
"ALESSANDRIA ""SAN MICHELE""";267;394;01/02/20;147.57;0
"ALESSANDRIA ""SAN MICHELE""";267;362;01/03/20;135.58;0
"ALESSANDRIA ""SAN MICHELE""";267;340;01/04/20;127.34;0
"ALESSANDRIA ""SAN MICHELE""";267;322;01/05/20;120.6;0
"ALESSANDRIA ""SAN MICHELE""";267;311;01/06/20;116.48;0
"ALESSANDRIA ""SAN MICHELE""";267;299;01/07/20;111.99;0
"ALESSANDRIA ""SAN MICHELE""";267;307;01/08/20;114.98;0
"ALESSANDRIA ""SAN MICHELE""";267;305;01/09/20;114.23;0
"ALESSANDRIA ""SAN MICHELE""";267;314;01/10/20;117.6;0
"ALESSANDRIA ""SAN MICHELE""";267;308;01/11/20;115.36;0
"ALESSANDRIA ""SAN MICHELE""";267;320;01/12/20;119.85;0
"ALESSANDRIA ""SAN MICHELE""";267;310;01/01/21;116.1;0
"ALESSANDRIA ""SAN MICHELE""";267;305;01/02/21;114.23;0
"ALESSANDRIA ""SAN MICHELE""";267;298;01/03/21;111.61;0
"ALESSANDRIA ""SAN MICHELE""";267;287;01/04/21;107.49;0
"ALESSANDRIA ""SAN MICHELE""";267;277;01/05/21;103.75;0
"ALESSANDRIA ""SAN MICHELE""";267;274;01/06/21;102.62;0
"ALESSANDRIA ""SAN MICHELE""";267;280;01/07/21;104.87;0
"ALESSANDRIA ""SAN MICHELE""";267;271;01/08/21;101.5;0
"ALESSANDRIA ""SAN MICHELE""";267;261;01/09/21;97.75;0
"ALESSANDRIA ""SAN MICHELE""";267;272;01/10/21;101.87;0
"ALESSANDRIA ""SAN MICHELE""";267;285;01/11/21;106.74;0
"ALESSANDRIA ""SAN MICHELE""";265;298;01/12/21;112.45;0
"ALESSANDRIA ""SAN MICHELE""";265;293;01/01/22;110.57;0
"ALESSANDRIA ""SAN MICHELE""";265;291;01/02/22;109.81;0
"ALESSANDRIA ""SAN MICHELE""";265;277;01/03/22;104.53;0
"ALESSANDRIA ""SAN MICHELE""";265;268;01/04/22;101.13;0
"ALESSANDRIA ""SAN MICHELE""";265;260;01/05/22;98.11;0
"ALESSANDRIA ""SAN MICHELE""";265;269;01/06/22;101.51;0
"ALESSANDRIA ""SAN MICHELE""";265;272;01/07/22;102.64;0
"ALESSANDRIA ""SAN MICHELE""";265;276;01/08/22;104.15;0
"ALESSANDRIA ""SAN MICHELE""";265;279;01/09/22;105.28;0
"ALESSANDRIA ""SAN MICHELE""";265;282;01/10/22;106.42;0
"ALESSANDRIA ""SAN MICHELE""";265;292;01/11/22;110.19;0
"ALESSANDRIA ""SAN MICHELE""";265;291;01/12/22;109.81;0
"ALESSANDRIA ""SAN MICHELE""";265;282;01/01/23;106.42;0
"ALESSANDRIA ""SAN MICHELE""";265;279;01/02/23;105.28;0
"ALESSANDRIA ""SAN MICHELE""";265;271;01/03/23;102.26;0
"ALESSANDRIA ""SAN MICHELE""";265;281;01/04/23;106.04;0
"ALESSANDRIA ""SAN MICHELE""";265;279;01/05/23;105.28;0
"ALESSANDRIA ""SAN MICHELE""";265;276;01/06/23;104.15;0
"ALESSANDRIA ""SAN MICHELE""";265;275;01/07/23;103.77;0
"ALESSANDRIA ""SAN MICHELE""";265;277;01/08/23;104.53;0
"ALESSANDRIA ""SAN MICHELE""";265;279;01/09/23;105.28;0
"ALESSANDRIA ""SAN MICHELE""";265;291;01/10/23;109.81;0
"ALESSANDRIA ""SAN MICHELE""";265;306;01/11/23;115.47;0
"ALESSANDRIA ""SAN MICHELE""";265;279;01/12/23;105.28;0
"ALESSANDRIA ""SAN MICHELE""";265;292;01/01/24;110.19;0
"ALESSANDRIA ""SAN MICHELE""";265;312;01/02/24;117.74;0
"ALESSANDRIA ""SAN MICHELE""";265;312;01/03/24;117.74;0
"ALESSANDRIA ""SAN MICHELE""";265;350;01/04/24;132.08;0
"ALESSANDRIA ""SAN MICHELE""";265;350;01/05/24;132.08;0
"ALESSANDRIA ""SAN MICHELE""";265;366;01/06/24;138.11;0
"ALESSANDRIA ""SAN MICHELE""";265;376;01/07/24;141.89;0
"ALESSANDRIA ""SAN MICHELE""";265;370;01/08/24;139.62;0
"ALESSANDRIA ""SAN MICHELE""";265;371;01/09/24;140.0;0
"ALESSANDRIA ""SAN MICHELE""";265;366;01/10/24;138.11;0
"ALESSANDRIA ""SAN MICHELE""";265;372;01/11/24;140.38;0
"ALESSANDRIA ""SAN MICHELE""";265;372;01/12/24;140.38;0
"ALESSANDRIA ""SAN MICHELE""";265;367;01/01/25;138.49;0
"ALESSANDRIA ""SAN MICHELE""";265;359;01/02/25;135.47;0
"ALESSANDRIA ""SAN MICHELE""";265;365;01/03/25;137.74;0
"ALGHERO ""G. TOMASIELLO""";156;149;01/09/19;95.51;0
"ALGHERO ""G. TOMASIELLO""";156;161;01/10/19;103.21;0
"ALGHERO ""G. TOMASIELLO""";156;155;01/11/19;99.36;0
"ALGHERO ""G. TOMASIELLO""";156;156;01/12/19;100.0;0
"ALGHERO ""G. TOMASIELLO""";156;159;01/01/20;101.92;0
"ALGHERO ""G. TOMASIELLO""";156;153;01/02/20;98.08;0
"ALGHERO ""G. TOMASIELLO""";156;145;01/03/20;92.95;0
"ALGHERO ""G. TOMASIELLO""";156;141;01/04/20;90.38;0
"ALGHERO ""G. TOMASIELLO""";156;135;01/05/20;86.54;0
"ALGHERO ""G. TOMASIELLO""";156;127;01/06/20;81.41;0
"ALGHERO ""G. TOMASIELLO""";156;119;01/07/20;76.28;0
"ALGHERO ""G. TOMASIELLO""";156;114;01/08/20;73.08;0
"ALGHERO ""G. TOMASIELLO""";156;112;01/09/20;71.79;0
"ALGHERO ""G. TOMASIELLO""";156;106;01/10/20;67.95;0
"ALGHERO ""G. TOMASIELLO""";156;107;01/11/20;68.59;0
"ALGHERO ""G. TOMASIELLO""";156;105;01/12/20;67.31;0
"ALGHERO ""G. TOMASIELLO""";156;103;01/01/21;66.03;0
"ALGHERO ""G. TOMASIELLO""";156;103;01/02/21;66.03;0
"ALGHERO ""G. TOMASIELLO""";156;99;01/03/21;63.46;0
"ALGHERO ""G. TOMASIELLO""";156;94;01/04/21;60.26;0
"ALGHERO ""G. TOMASIELLO""";156;92;01/05/21;58.97;0
"ALGHERO ""G. TOMASIELLO""";156;96;01/06/21;61.54;0
"ALGHERO ""G. TOMASIELLO""";156;91;01/07/21;58.33;0
"ALGHERO ""G. TOMASIELLO""";156;92;01/08/21;58.97;0
"ALGHERO ""G. TOMASIELLO""";156;95;01/09/21;60.9;0
"ALGHERO ""G. TOMASIELLO""";156;93;01/10/21;59.62;0
"ALGHERO ""G. TOMASIELLO""";156;93;01/11/21;59.62;0
"ALGHERO ""G. TOMASIELLO""";156;91;01/12/21;58.33;0
"ALGHERO ""G. TOMASIELLO""";156;101;01/01/22;64.74;0
"ALGHERO ""G. TOMASIELLO""";156;108;01/02/22;69.23;0
"ALGHERO ""G. TOMASIELLO""";156;105;01/03/22;67.31;0
"ALGHERO ""G. TOMASIELLO""";156;104;01/04/22;66.67;0
"ALGHERO ""G. TOMASIELLO""";156;101;01/05/22;64.74;0
"ALGHERO ""G. TOMASIELLO""";156;94;01/06/22;60.26;0
"ALGHERO ""G. TOMASIELLO""";156;97;01/07/22;62.18;0
"ALGHERO ""G. TOMASIELLO""";156;92;01/08/22;58.97;0
"ALGHERO ""G. TOMASIELLO""";156;93;01/09/22;59.62;0
"ALGHERO ""G. TOMASIELLO""";156;91;01/10/22;58.33;0
"ALGHERO ""G. TOMASIELLO""";156;89;01/11/22;57.05;0
"ALGHERO ""G. TOMASIELLO""";156;95;01/12/22;60.9;0
"ALGHERO ""G. TOMASIELLO""";156;97;01/01/23;62.18;0
"ALGHERO ""G. TOMASIELLO""";156;98;01/02/23;62.82;0
"ALGHERO ""G. TOMASIELLO""";156;105;01/03/23;67.31;0
"ALGHERO ""G. TOMASIELLO""";156;108;01/04/23;69.23;0
"ALGHERO ""G. TOMASIELLO""";156;112;01/05/23;71.79;0
"ALGHERO ""G. TOMASIELLO""";156;110;01/06/23;70.51;0
"ALGHERO ""G. TOMASIELLO""";156;113;01/07/23;72.44;0
"ALGHERO ""G. TOMASIELLO""";156;110;01/08/23;70.51;0
"ALGHERO ""G. TOMASIELLO""";156;110;01/09/23;70.51;0
"ALGHERO ""G. TOMASIELLO""";156;109;01/10/23;69.87;0
"ALGHERO ""G. TOMASIELLO""";156;112;01/11/23;71.79;0
"ALGHERO ""G. TOMASIELLO""";156;114;01/12/23;73.08;0
"ALGHERO ""G. TOMASIELLO""";156;107;01/01/24;68.59;0
"ALGHERO ""G. TOMASIELLO""";156;107;01/02/24;68.59;0
"ALGHERO ""G. TOMASIELLO""";156;95;01/03/24;60.9;0
"ALGHERO ""G. TOMASIELLO""";156;95;01/04/24;60.9;0
"ALGHERO ""G. TOMASIELLO""";156;91;01/05/24;58.33;0
"ALGHERO ""G. TOMASIELLO""";156;92;01/06/24;58.97;0
"ALGHERO ""G. TOMASIELLO""";156;92;01/07/24;58.97;0
"ALGHERO ""G. TOMASIELLO""";156;92;01/08/24;58.97;0
"ALGHERO ""G. TOMASIELLO""";156;87;01/09/24;55.77;0
"ALGHERO ""G. TOMASIELLO""";156;84;01/10/24;53.85;0
"ALGHERO ""G. TOMASIELLO""";156;86;01/11/24;55.13;0
